ciudad,estacion,ciudad_api,fecha,aqi,pm25,pm10,temp,viento,humedad,fecha_descarga
Valdivia,Valdivia,"Valdivia, Chile",2026-04-26 01:00:00,168,168,71,10,2,85,2026-04-26 06:35:28.129048
Osorno,Osorno,"Osorno, Chile",2026-04-26 01:00:00,127,127,51,10.6,2.9,80,2026-04-26 06:35:28.269466
Talca,La Florida 2,"La Florida 2, Chile",2026-04-26 03:00:00,87,87,32,6.4,1,82.9,2026-04-26 10:11:05.028414
Talca,U.C. Maule,"U.C. Maule, Chile",2026-04-26 05:00:00,74,74,22,4.9,3,97.9,2026-04-26 10:11:05.180638
Talca,Universidad de Talca,"Universidad de Talca, Chile",2026-04-26 05:00:00,70,70,32,4.9,3,97.9,2026-04-26 10:11:05.331232
Los Angeles,Los Angeles Oriente,"Los Ángeles Oriente, Chile",2026-04-26 05:00:00,76,76,42,6.2,0.2,97,2026-04-26 10:11:05.483153
Los Angeles,21 de Mayo 2,"21 de mayo 2, Chile",2026-04-26 05:00:00,97,97,30,6.2,0.2,97,2026-04-26 10:11:05.639701
Chillan,INIA Chillan,"INIA, Chillán, Chile",2026-04-26 04:00:00,65,65,20,6.2,0.2,97,2026-04-26 10:11:05.806485
Chillan,Puren,"Puren, Chile",2026-04-26 05:00:00,74,74,26,6.2,0.2,97,2026-04-26 10:11:05.962157
Rancagua,Rancagua II,"Rancagua II, Chile",2026-04-26 05:00:00,85,85,36,10,9,71,2026-04-26 10:11:06.122904
Rancagua,Rancagua I,"Rancagua I, Chile",2026-04-26 05:00:00,87,87,39,10,8.8,70.5,2026-04-26 10:11:06.284257
Temuco,Nielol,"Ñielol, Chile",2026-04-26 05:00:00,9,5,9,7.9,1,100,2026-04-26 10:11:06.45816
Temuco,Las Encinas,"Las Encinas Temuco, Chile",2026-04-26 05:00:00,15,13,15,7.9,1,100,2026-04-26 10:11:06.609483
Temuco,Padre Las Casas II,"Padre Las Casas II, Chile",2026-04-26 05:00:00,38,38,8,7.9,1,100,2026-04-26 10:11:06.762111
Valdivia,Valdivia 2,"Valdivia 2, Chile",2026-04-26 05:00:00,127,127,38,9.6,4.3,61.1,2026-04-26 10:11:06.925366
Valdivia,Valdivia,"Valdivia, Chile",2026-04-26 04:00:00,208,208,110,9.6,4.6,60.4,2026-04-26 10:11:07.076406
